date,regime,equity_index,bond_index,volatility_index,interest_rate,inflation_rate
2023-07-17,bull,100.41578145455618,100.07728919215448,1.0,1.9943967276717023,2.5038696111488683
2023-07-18,bull,100.35257164460943,100.26772404945656,1.374688420478909,1.99798132343537,2.503823470779406
2023-07-19,bull,101.58012458767274,100.37777759648311,1.0,1.9890437600524253,2.493184342599881
2023-07-20,bull,101.27012549681713,100.14406187506084,1.0,1.9664920044676848,2.4990066318023625
2023-07-21,bull,102.24817986984664,100.35761453308581,1.283064840502053,1.9705633024997675,2.4985829624930584
2023-07-22,bull,101.7824458560905,100.14369396997604,1.0,1.9757543324793359,2.507876840813176
2023-07-23,bear,101.6355202644599,99.99702192006202,1.5710017287105107,1.9737580142325595,2.5022149305773365
2023-07-24,bear,100.04924634841674,99.72384399834459,1.0762702857602404,1.9622789854806595,2.4893967327585287
2023-07-25,bear,100.62656372468759,100.1230859192788,2.2221508551168454,1.9631683408895522,2.489124524737064
2023-07-26,bear,102.60204061518093,100.32335858599693,1.0,1.9485230172064163,2.499492146243338
2023-07-27,bear,102.42936276415841,100.51547582396667,1.2312851229469128,1.9382507112395397,2.5007796833362663
2023-07-28,bear,102.08556887332128,100.90161951989671,1.4537243513486584,1.9307437318744982,2.4991823249428835
2023-07-29,bear,100.43130923748829,101.76311227471484,1.0,1.9391831225834137,2.492219548801624
2023-07-30,bear,100.04865619241865,101.25148008219706,1.5652597642937978,1.9355570130790445,2.506281680535071
2023-07-31,bear,97.75763004483728,101.03732006518977,2.205955238733745,1.93107834896128,2.4980448597759928
2023-08-01,bear,96.4496044277861,100.86065375960848,1.154768919653145,1.9506252741153924,2.492241705714967
2023-08-02,bear,96.69796260724698,100.61329715494938,1.5975714095158629,1.9541498990872797,2.4968019792836387
2023-08-03,bear,98.42558627391392,100.29810087416382,1.0,1.9575398441920278,2.4819538137645445
2023-08-04,bear,102.23750608591942,100.2179667845136,1.3805353997575798,1.95384283673994,2.492150539087595
2023-08-05,bear,101.33656963540002,99.86221192900568,1.2434788570368975,1.9478791200635723,2.497144084001334
2023-08-06,bear,103.31204521342121,99.97257236593524,1.0,1.9260150556634008,2.504337932575823
2023-08-07,bear,103.6026139281591,99.9980748657125,1.9407252348142663,1.9357024609826363,2.5088028686714203
2023-08-08,bear,103.3210772380545,100.15238049449383,1.236878159188086,1.9401855580402,2.507513880531769
2023-08-09,bear,103.8848303383454,100.31494637177232,1.3112612564532065,1.938393898108066,2.499008690850526
2023-08-10,bear,103.91255000777373,100.50644966689943,1.2114035626054647,1.9370216310897035,2.4978880873207263
2023-08-11,bear,104.0108034967856,100.40391029232394,1.0,1.944383073712314,2.490086196826705
2023-08-12,bear,103.35380216964774,101.05286395909872,1.0,1.9288359729815154,2.493975439307316
2023-08-13,bear,101.26879059968141,101.13403905265956,1.8805467430601084,1.9229371596659774,2.500429677951701
2023-08-14,bear,99.01953452174122,100.57907063944403,1.0,1.9115741310370522,2.5122441470012866
2023-08-15,bear,99.8656988608252,100.28667448368591,1.0168423251921475,1.9292892238619195,2.5152182881257095
2023-08-16,bear,99.41891957131102,99.77305538103874,1.2001399718551182,1.9380457791804526,2.522614890978471
2023-08-17,bear,98.5295930183565,99.7882212733198,2.271810933645783,1.916018852769099,2.52023773308063
2023-08-18,bear,98.48220804569706,99.76173591549691,1.7843018827481847,1.9008812365026992,2.5164115159765643
2023-08-19,bear,99.51913229006384,99.63151920677883,1.1214147364734504,1.8995577797691243,2.520200891103099
2023-08-20,bear,99.71071609417942,100.24253722947265,2.052256848557776,1.8948333776484,2.5171091081213635
2023-08-21,bear,98.73506975910861,100.41765579177459,1.0297420897494403,1.8815895555676312,2.519262594431985
2023-08-22,bear,100.3709224045486,100.64643684334584,1.904549901867003,1.9010371779441362,2.5107730569173015
2023-08-23,bear,102.52976012925605,100.37537380002814,1.0,1.9041625770839619,2.503720035457491
2023-08-24,bear,103.1781371265466,100.08454271156492,1.9366289158945786,1.908910740312593,2.5088033098656375
2023-08-25,bear,104.52268126631073,100.10560215047526,1.1969331772645073,1.9019905908202706,2.5158968304688862
2023-08-26,bear,106.27734950204564,100.16756966236397,1.0,1.9092133322920506,2.5080115811171524
2023-08-27,bear,107.89503853264604,99.61975976468824,1.291428193461843,1.9054090046822305,2.513376495601204
2023-08-28,bear,108.7579170708105,99.57583531376424,1.5386720898601076,1.9025755729451554,2.5091146102169217
